Item #,File Stamp,Filing Party,Filing Description
1,2019-04-05,"CENTERPOINT ENERGY HOUSTON ELECTRIC , LLC","APPLICATION OF CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC FOR AUTHORITY TO CHANGE RATES"
3,2019-04-05,PUC OPDM,ORDER 1 SUSPENDING EFFECTIVE DATE AND ENTERING PROTECTIVE ORDER
4,2019-04-08,PUC OPDM,ORDER OF REFERRAL
68,2019-05-02,PUC OPDM,"ABOVE-REFERENCED DOCKET HAS BEEN PLACED ON AGENDA OF THE OPEN MEETING ON MAY 9, 2019"
73,2019-05-02,PUC OPDM,DRAFT PRELIMINARY ORDER
109,2019-05-07,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,"CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC’S RESPONSE TO PUBLIC"
142,2019-05-09,PUC OPDM,PRELIMINARY ORDER
300,2019-05-22,SOAH,SOAH ORDER NO. 3   GRANTING MOTIONS TO INTERVENE
357,2019-05-29,CENTERPOINT ENERGY,RESPONSE TO ORDER NO. 4
396,2019-06-06,GULF COAST COALITION OF CITIES,Redacted Direct Testimony of Lane Kollen on Behalf of Gulf Coast Coalition of Cities
399,2019-06-06,"H-E-B, LP","H-E-B, LP's Direct Testimony of George W. Presses"
403,2019-06-06,OPUC,OPUC's Redacted Direct Testimony of June M. Dively
404,2019-06-06,OPUC,OPUC's Redacted Direct Testimony of Anjuli Winker
405,2019-06-06,OPUC,OPUC's Redacted Direct Testimony of Karl Nalepa
410,2019-06-06,WALMART INC,DIRECT TESTIMONY AND EXHIBITS OF STEVE W. CHRISS ON BEHALF OF WALMART INC.
411,2019-06-06,CITY OF HOUSTON AND HOUSTON COALITION OF CITIES,DIRECT TESTIMONY OF KIT PEVOTO ON BEHALF OF THE CITY OF HOUSTON AND HOUSTON COALITION OF CITIES
412,2019-06-06,CITY OF HOUSTON AND HOUSTON COALITION OF CITIES,DIRECT TESTIMONY OF SCOTT NORWOOD ON BEHALF OF THE CITY OF HOUSTON AND HOUSTON COALITION OF CITIES
413,2019-06-06,CITY OF HOUSTON AND HOUSTON COALITION OF CITIES,DIRECT TESTIMONY AND EXHIBITS OF MARK GARRETT ON BEHALF OF THE CITY OF HOUSTON AND HOUSTON COALITION OF CITIES
414,2019-06-06,TCUC,Direct Testimony of J Randall Woolridge on Behalf  of TCUC
415,2019-06-06,TCUC,Direct Testimony of David J. Garrett on Behalf of TCUC
416,2019-06-06,TIEC,Direct Testimony of Jeffry Pollock on Behalf of TIEC
417,2019-06-06,TIEC,Direct Testimony of Billie Laconte on Behalf of TIEC
418,2019-06-06,TIEC,Redacted Direct Testimony of Charles Griffey on behalf of TIEC
420,2019-06-06,"TIGRIS XII, LTD",Redacted Direct Testimony of Michael Gorman on behalf  of TIEC
451,2019-06-07,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",LETTER OF CORRECTION ON PAGE 27 FROM DIRECT TESTIMONY
452,2019-06-07,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",AGREEMENT REGARDING STAFF DIRECT TESTIMONY
513,2019-06-12,PUC LEGAL,DIRECT TESTIMONY OF JORGE ORDONEZ
515,2019-06-12,PUC LEGAL,DIRECT TESTIMONY OF BLAKE P IANNI
518,2019-06-12,PUC LEGAL,DIRECT TESTIMONY OF TOM SWEATMAN
520,2019-06-12,PUC LEGAL,DIRECT TESTIMONY OF REGINALD J. TUVILLA
525,2019-06-12,PUC LEGAL,REDACTED DIRECT TESTIMONY OF BRIAN T MURPHY
526,2019-06-12,PUC LEGAL,REVENUE REQUIREMENT PHASE DIRECT TESTIMONY OF MARK FILAROWICZ
527,2019-06-12,PUC LEGAL,DIRECT TESTIMONY OF ALICIA MALOY
537,2019-06-13,ALLIANCE FOR RETAIL MARKETS,NOTICE OF MODIFICATION OF LIST MEMBERS REPRESENTED IN THIS PROCEEDING
